Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
South Melbourne,5 Park Pl,2.0,u,650000.0,VB,hockingstuart,8/4/2017,2.1,3205,2.0,1.0,0.0,438.0,2.0,1900.0,Port Phillip City Council,-37.8353,144.9599,Southern Metropolitan,5943
Reservoir,29 Arundel Av,3.0,h,570000.0,VB,Nelson,11/11/2017,12.0,3073,3.0,2.0,1.0,284.0,80.0,1960.0,Darebin City Council,-37.6968,145.0182,Northern Metropolitan,21650
Roxburgh Park,10 Tiffany Cr,4.0,h,630000.0,SP,YPA,6/1/2018,20.6,3064,4.0,2.0,2.0,610.0,198.0,2003.0,Hume City Council,-37.61958,144.92492,Northern Metropolitan,5833
Glen Waverley,23 Diamond Av,4.0,h,1439000.0,S,Barry,21/10/2017,16.7,3150,4.0,2.0,2.0,663.0,158.0,1970.0,Monash City Council,-37.87215,145.17258999999999,Eastern Metropolitan,15321
Abbotsford,200 Nicholson St,2.0,h,1012500.0,S,Nelson,28/05/2016,2.5,3067,2.0,1.0,0.0,182.0,82.0,1900.0,Yarra City Council,-37.8021,144.9976,Northern Metropolitan,4019
Lalor,1 Willard Ct,3.0,h,685500.0,S,HAR,14/10/2017,16.3,3075,3.0,2.0,1.0,555.0,150.0,1960.0,Whittlesea City Council,-37.66281,145.01185,Northern Metropolitan,8279
Bentleigh East,2/119 Marlborough St,2.0,u,655000.0,S,hockingstuart,18/06/2016,13.9,3165,2.0,1.0,1.0,154.0,80.0,2000.0,Glen Eira City Council,-37.9079,145.0685,Southern Metropolitan,10969
Avondale Heights,3 Karen Ct,3.0,h,1100000.0,SP,Moonee,11/11/2017,9.5,3034,3.0,2.0,2.0,668.0,153.0,1980.0,Moonee Valley City Council,-37.7593,144.871,Western Metropolitan,4502
Prahran,22 Irving Av,3.0,h,1650000.0,S,hockingstuart,9/9/2017,4.6,3181,3.0,1.0,0.0,435.0,200.0,1966.0,Stonnington City Council,-37.857929999999996,145.00734,Southern Metropolitan,7717
South Yarra,10/20 Cromwell Rd,1.0,u,410000.0,PI,Jellis,12/8/2017,2.7,3141,1.0,1.0,1.0,0.0,50.0,1960.0,Melbourne City Council,-37.8446,145.00018,Southern Metropolitan,14887
Reservoir,96 Whitelaw St,3.0,h,650000.0,PI,Ray,10/9/2016,11.2,3073,3.0,1.0,1.0,700.0,98.0,1950.0,Darebin City Council,-37.7125,145.02200000000002,Northern Metropolitan,21650
Gowanbrae,13 Gowanbrae Dr,4.0,h,970000.0,S,Nelson,29/04/2017,13.6,3043,4.0,2.0,3.0,737.0,265.0,2010.0,Moreland City Council,-37.7088,144.8938,Western Metropolitan,1071
Hoppers Crossing,2 Burge Cr,4.0,h,650000.0,SP,Triwest,22/07/2017,18.4,3029,4.0,2.0,2.0,680.0,205.0,1985.0,Wyndham City Council,-37.86821,144.69566,Western Metropolitan,13830
